"phylo_name","Avg_Val_het","Avg_Val_pi","populationEstimate","IUCN_ExtentOfOccurrence_km2","genome_size","Assembly Stats Contig N50","Assembly Stats Scaffold N50","height_clean","diaspore_seed_length","bioclim_BIO1_weighted_bioclim.x","bioclim_BIO2_weighted_bioclim.x","bioclim_BIO3_weighted_bioclim.x","bioclim_BIO4_weighted_bioclim.x","bioclim_BIO5_weighted_bioclim.x","bioclim_BIO6_weighted_bioclim.x","bioclim_BIO7_weighted_bioclim.x","bioclim_BIO8_weighted_bioclim.x","bioclim_BIO9_weighted_bioclim.x","bioclim_BIO10_weighted_bioclim.x","bioclim_BIO11_weighted_bioclim.x","bioclim_BIO12_weighted_bioclim.x","bioclim_BIO13_weighted_bioclim.x","bioclim_BIO14_weighted_bioclim.x","bioclim_BIO15_weighted_bioclim.x","bioclim_BIO16_weighted_bioclim.x","bioclim_BIO17_weighted_bioclim.x","bioclim_BIO18_weighted_bioclim.x","bioclim_BIO19_weighted_bioclim.x","ssd_wood_density","centroid_x","centroid_y","scientificName","redlistCategory","redlistCriteria","realm","scopes","IUCN_AreaOfOccupancy_km2","IUCN_PopulationTrend","IUCN_HabitatSystems","status","extracted_criteria","broad_code","sexual_reproduction","diaspore_seed_type","diaspore_dispersal_type","diaspore_accessory_type","pollination_self_compat","pollination_mating_mode","pollination_vector","seed_traits_clade","seed_traits_sex","life_strat_clean","final_area_km2","area_source","centroid_method","cleaned_lifecycle","true_area_km2","log10_area","Climate_PC1","iucn_bin","abs_lat","area_numeric","phylo_binomial","join_key","ssd_new","ssd_merged","ssd_source","PC1_kj","PC2_kj","PC3_kj","PC1","PC2","BIOME","ECO_NAME","biome_name","biome_group"
"Dipteronia_dyeriana",0.001018005,0.001940166,1250,139,914769786,11266659,110517637,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.789197465115,28.5252608479408,"Dipteronia dyeriana","Endangered","B1ab(iii)+2ab(iii)","Palearctic","Global","20-32","Unknown","Terrestrial","EN","B1","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,"EOO","native_only",NA,0.000139,2.1430148002541,NA,1,28.5252608479408,139,"Dipteronia_dyeriana","Dipteronia dyeriana",NA,NA,"missing",NA,NA,NA,NA,NA,1,"Guizhou Plateau broadleaf and mixed forests","Tropical Moist Broadleaf","Tropical"
"Dovyalis_caffra",0.00221592,NA,NA,880702.8,440647589,8308336,13328472,3.5,NA,19.256312143117,12.5036352996713,58.1403045517216,318.054328210314,29.1171854706748,7.47858004706893,21.6386054276984,21.425217175961,16.1674765159548,22.7084879504129,15.0188882001326,749.763474743403,136.314344590648,12.6606184212228,71.2824207284338,377.511912793826,45.673638445557,294.39665608148,59.6686363950681,0.675885,29.4023112995643,-25.2407050290958,"Dovyalis caffra","Least Concern",NA,"Afrotropical","Global","196","Stable","Terrestrial","LC","","","Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,880702.8,"EOO","native_plus_maxent","Perennial",0.8807028,5.94482937708878,1.0658225523006,0,25.2407050290958,880702.8,"Dovyalis_caffra","Dovyalis caffra",NA,0.675885,"original_only",0.474421414654225,1.84398242923068,0.0686861466265379,0.474421414654225,1.84398242923068,7,"Southern Africa bushveld","Tropical Grasslands & Savannas","Tropical"
"Elaeagnus_mollis",0.00299732,NA,NA,NA,622042899,32306000,36157234,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.283446525257,37.4807027470823,"Elaeagnus mollis","Vulnerable","A1cd","Palearctic","Global",NA,"Unspecified","Terrestrial","VU","A1","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOO","native_only",NA,NA,NA,NA,1,37.4807027470823,NA,"Elaeagnus_mollis","Elaeagnus mollis",NA,NA,"missing",NA,NA,NA,NA,NA,10,"Ordos Plateau steppe","Montane Grasslands","Montane"
"Elaeis_guineensis",0.00460535074380165,0.005406382,NA,7494186,1209420378,12352,76242894,23.33333333,NA,26.6720124827714,9.50854088790338,69.391385823624,131.299649189401,34.2884293778099,20.4891705512799,13.7992588549755,26.1869136672212,27.0079632873315,28.3018077039361,25.039619697552,1292.88525504194,232.744879398236,8.5511845543256,70.3971029259943,595.360074097956,52.4640649795418,253.876684476154,423.161956508511,0.241134957048055,2.45030989365728,6.67860920958007,"Elaeis guineensis","Least Concern",NA,"Afrotropical","Global","528","Unknown","Terrestrial","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7494186,"EOO","native_plus_maxent","Perennial",7.494186,6.87472446775047,1.49040601341024,0,6.67860920958007,7494186,"Elaeis_guineensis","Elaeis guineensis",NA,0.241134957048055,"original_only",4.62081931771956,1.41948274759504,-0.591236467352896,4.62081931771956,1.41948274759504,7,"Guinean forest-savanna mosaic","Tropical Grasslands & Savannas","Tropical"
"Elaeocarpus_petiolatus",0.00692,NA,NA,6673587.8,322450354,19585872,20575603,12,NA,23.9100341093017,8.71246579246857,60.3963337902466,228.459233173869,31.2299339154156,15.2901785887755,15.9397553415234,25.3653895518603,21.3869915826437,26.338724928173,20.810929116944,2056.23445319998,372.243468059725,38.0066588166851,72.2981737970037,998.83561256765,139.982033213239,627.332669701142,290.771938040876,0.455,104.612722801669,11.8942942573144,"Elaeocarpus petiolatus","Least Concern",NA,"Indomalayan|Palearctic","Global","208","Stable","Terrestrial","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6673587.8,"EOO","native_plus_maxent",NA,6.6735878,6.82435937856782,-0.679927259395379,0,11.8942942573144,6673587.8,"Elaeocarpus_petiolatus","Elaeocarpus petiolatus",NA,0.455,"original_only",4.7547476360798,-1.97711508883793,0.826088807735484,4.7547476360798,-1.97711508883793,2,"Central Indochina dry forests","Tropical Dry Broadleaf","Tropical"
"Eleusine_indica",0.000794270227272727,0.002507865,NA,NA,522528889,42109816,57376714,0.386324405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleusine indica","Least Concern",NA,"Afrotropical|Australasian|Indomalayan|Nearctic|Palearctic","Global",NA,"Increasing","Terrestrial; Freshwater (=Inland waters)","LC","","","bisexual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOO",NA,"Annual",NA,NA,NA,0,NA,NA,"Eleusine_indica","Eleusine indica",NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ensete_glaucum",0.0006589055,0.0031962,NA,9975287,494938021,9845951,55030165,8.5,NA,20.2247345496939,9.28906611776317,51.1616934029695,354.703445379652,28.826756087181,9.23840936733267,19.5883467627055,23.4742766668181,15.861841031278,23.9830510079319,15.3949988304671,1728.82309507127,340.575978414505,19.0354214616539,81.3307643212931,911.090852415686,75.6896371508882,734.42099097514,115.118287575041,NA,106.116296204462,17.690436098385,"Ensete glaucum","Least Concern",NA,"Indomalayan","Global",NA,"Unknown","Terrestrial","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9975287,"EOO","native_plus_maxent",NA,9.975287,6.99892539966939,0.176033769974784,0,17.690436098385,9975287,"Ensete_glaucum","Ensete glaucum",NA,NA,"missing",2.74745785531637,-1.2794411845529,1.99228807931216,2.74745785531637,-1.2794411845529,1,"Northern Annamites rain forests","Tropical Moist Broadleaf","Tropical"
"Ensete_ventricosum",0.00389066572727273,0.005049084,NA,5600000,534048781,8634126,57407150,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ensete ventricosum","Least Concern",NA,"Afrotropical","Global",NA,"Stable","Terrestrial; Freshwater (=Inland waters)","LC","","","Hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,5600000,"EOO",NA,"Perennial",5.6,6.7481880270062,NA,0,NA,5600000,"Ensete_ventricosum","Ensete ventricosum",NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium_hirsutum",0.000927798,NA,NA,NA,336043468,632547,18726569,1.411264739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1894782006,NA,NA,"Epilobium hirsutum","Least Concern",NA,"Afrotropical|Australasian|Indomalayan|Palearctic","Global",NA,"Unknown","Terrestrial; Freshwater (=Inland waters)","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EOO",NA,"Perennial",NA,NA,NA,0,NA,NA,"Epilobium_hirsutum","Epilobium hirsutum",NA,0.1894782006,"original_only",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythroxylum_engleri",0.00406198,NA,NA,1573604.52,592835783,8413,30038816,NA,NA,23.7694096022573,11.7976001995114,69.9198018428373,132.785402615488,31.6096999814312,14.6436537892104,16.966046179805,24.390335082135,22.3586242462698,25.0942175523898,21.9642448997204,1360.48635089956,246.507852862002,12.2442809248573,78.4709619662307,671.785286605427,48.6739323550384,381.414566743252,154.355963574982,NA,-47.8005695633871,-13.0784022680821,"Erythroxylum engleri","Least Concern",NA,"Neotropical","Global","268","Stable","Terrestrial","LC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573604.52,"EOO","native_plus_maxent",NA,1.57360452,6.19689559437457,1.24221275979612,0,13.0784022680821,1573604.52,"Erythroxylum_engleri","Erythroxylum engleri",NA,NA,"missing",3.47415107878388,1.33488864608561,0.280962756387043,3.47415107878388,1.33488864608561,7,"Cerrado","Tropical Grasslands & Savannas","Tropical"
