DRR050364,2016-05-08 06:08:23,2016-05-08 06:22:32,45988172,11589019344,45988172,252,4793,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/050/DRR050364/DRR050364.sralite.1,DRX045370,,WGS,RANDOM,GENOMIC,PAIRED,5000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,6DC306E45137AB28DC4776AD6F28BD55,474186B6F6520FCDA857342EBA61D7B5
DRR050365,2016-05-08 06:08:23,2016-05-08 06:22:09,27461166,6920213832,27461166,252,2968,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/DRR000/050/DRR050365/DRR050365.sralite.1,DRX045371,,WGS,RANDOM,GENOMIC,PAIRED,7000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,1C242529444AB1F5571264E44B5464D8,EB24D357C510A13F5148118EAA3D27B1
DRR050366,2016-05-08 06:08:23,2016-05-08 06:20:45,14539275,3663897300,14539275,252,1502,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/050/DRR050366/DRR050366.sralite.1,DRX045372,,WGS,RANDOM,GENOMIC,PAIRED,10000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,96E4DE762955FB0ED232D46D7BE69FA5,F3AE37033C94531283D697396C1A1004
DRR050367,2016-05-08 06:08:23,2016-05-08 06:19:41,12918586,3255483672,12918586,252,1366,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/050/DRR050367/DRR050367.sralite.1,DRX045373,,WGS,RANDOM,GENOMIC,PAIRED,12000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,2F9CC84958881E2A3D9C13B660926EA6,7D2978415263CCFF6335D44818AFA335
DRR050368,2016-05-08 06:08:23,2016-05-08 06:19:58,8355884,2105682768,8355884,252,888,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/050/DRR050368/DRR050368.sralite.1,DRX045374,,WGS,RANDOM,GENOMIC,PAIRED,15000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,C1BF8E4A225C3B1E5B11650E07047C63,9BB2D575BE263D17306E1AE4C8111CF9
DRR050369,2016-05-08 06:08:23,2016-05-08 06:19:18,3712677,935594604,3712677,252,382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/050/DRR050369/DRR050369.sralite.1,DRX045375,,WGS,RANDOM,GENOMIC,PAIRED,20000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,BEAC0BA059117B3ABB5F1162E80462C3,EDA0E3246BA3BF0BD1E61B96AD6F35D4
DRR050370,2016-05-08 06:08:23,2016-05-08 06:17:59,1359775,342663300,1359775,252,145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/050/DRR050370/DRR050370.sralite.1,DRX045376,,WGS,RANDOM,GENOMIC,PAIRED,24000,0,ILLUMINA,Illumina HiSeq 2500,DRP003104,PRJDB4221,2,320241,DRS029576,SAMD00044343,simple,101978,Metrosideros polymorpha var. glaberrima,SAMD00044343,,,,,,,no,,,,,KYOTO_AG,DRA004246,,public,A63F9B51A9C9FF9EF7EECFEF380E3206,399631CCB8DF8660FAB5CB33DDD027DB
DRR053706,2017-01-08 19:03:09,2017-01-10 09:41:35,103554132,19261068552,103554132,186,11970,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053706/DRR053706.sralite.1,DRX048588,Cephalotus_DNA_PE_170bp_1,WGS,RANDOM,GENOMIC,PAIRED,170,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,4B05E758FBB260575145BB2AF976B812,43830D0A7676C754B4CFF84C63B00763
DRR053707,2017-01-08 19:03:09,2017-01-10 09:41:39,83584627,15546740622,83584627,186,10973,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053707/DRR053707.sralite.1,DRX048589,Cephalotus_DNA_PE_500bp_1,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,D7069CB91B4C76AED599D5FAA11234A1,9899781AEFA8A37CC39A4D8B82F2EA5B
DRR053708,2017-01-08 19:03:09,2017-01-08 19:17:47,49645683,9234097038,49645683,186,6753,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053708/DRR053708.sralite.1,DRX048590,Cephalotus_DNA_PE_800bp_1,WGS,RANDOM,GENOMIC,PAIRED,800,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,78ED24BE61A84E8CBA8C93EEA90F4BCB,D633B755F6725773BECDD6F2A5CBD4D2
DRR053709,2017-01-08 19:03:09,2017-01-08 22:18:13,60152165,12030433000,60152165,200,8391,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053709/DRR053709.sralite.1,DRX048591,Cephalotus_DNA_PE_800bp_2,WGS,RANDOM,GENOMIC,PAIRED,800,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,B3EB9DF7E1A308DE4EFE3EF2FC28C89F,2688A0246216F7A33BC7A07A7E3D670B
DRR053710,2017-01-08 19:03:09,2017-01-09 01:00:17,186215149,51395381124,186215149,276,32908,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053710/DRR053710.sralite.1,DRX048592,Cephalotus_DNA_PE_250bp_1,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,BA164431B734DE471895908F98D82D94,551CB74B56C9C11F99EBA28B98AE60F4
DRR053711,2017-01-08 19:03:09,2017-01-08 20:30:16,68285388,13657077600,68285388,200,9603,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053711/DRR053711.sralite.1,DRX048593,Cephalotus_DNA_PE_800bp_3,WGS,RANDOM,GENOMIC,PAIRED,800,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,78BAF5439F70655C9E1EC6D88E75A1C8,90459534ECAD999C1D666E6FC716A64E
DRR053712,2017-01-08 19:03:09,2017-01-08 23:23:25,166091097,45841142772,166091097,276,30101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053712/DRR053712.sralite.1,DRX048594,Cephalotus_DNA_PE_500bp_2,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,024F1B95DF4C3A96D352FC8185E556A2,C46B008E9755823710DB2607E29A42BF
DRR053713,2017-01-08 19:03:09,2017-01-10 09:49:53,103122060,29080420920,103122060,282,17414,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/053/DRR053713/DRR053713.sralite.1,DRX048595,Cephalotus_DNA_PE_250bp_2,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina HiSeq 2000,DRP003410,PRJDB4484,2,360597,DRS039519,SAMD00045316,simple,3775,Cephalotus follicularis,SAMD00045316,,,,,,,no,,,,,NIBB,DRA004348,,public,4491F74FC5791145DB7CECCCAD0E47EB,AF7E287300151CD7FB606E78E812F5A7
